,제목,에피소드
50,썸남에서 겟남까지 - 공감백퍼연애백서,8. 나랑 해 – 임혜
51,썸남에서 겟남까지 - 공감백퍼연애백서,9. 여교사의 아찔한 선택 – 이재익
52,썸남에서 겟남까지 - 공감백퍼연애백서,10. 남친이 고장났다 – 이른봄
53,썸남에서 겟남까지 - 공감백퍼연애백서,11. 우슬라의 정원 - 윤이수
54,썸남에서 겟남까지 - 공감백퍼연애백서,12. 첫키스주기도문 – 정도령
55,썸남에서 겟남까지 - 공감백퍼연애백서,13. 이번엔 진짜 만진다! - 용감한 자매
56,썸남에서 겟남까지 - 공감백퍼연애백서,14. 발가락이 시공간으로 사라질 뻔한 아찔했던 사연 - 이지혜
57,썸남에서 겟남까지 - 공감백퍼연애백서,15. 내가 죽어도 울지 않을 너에게 – 천지혜
58,썸남에서 겟남까지 - 공감백퍼연애백서,16. 넌 친구? 난 연인! - 달콤J
59,썸남에서 겟남까지 - 공감백퍼연애백서,17. 복숭아맛 키스 - 백묘
60,썸남에서 겟남까지 - 공감백퍼연애백서,"18. 남녀혼탕, 온천에서 생긴 일 – 박수정(방울마마)"
61,썸남에서 겟남까지 - 공감백퍼연애백서,19. 은밀하고 비밀스럽게 - 안테
62,썸남에서 겟남까지 - 공감백퍼연애백서,20. Crush on you – 은빈
63,당신과 나 사이에 없는 것,-1- 다정한 부부
64,당신과 나 사이에 없는 것,-2- 사랑하는 나의 딸
65,당신과 나 사이에 없는 것,-3- 도피처
66,당신과 나 사이에 없는 것,-4- 보란 듯이 행복해질게
67,당신과 나 사이에 없는 것,-5- 서로 다른 애정
68,당신과 나 사이에 없는 것,-6- 말 못 할 마음
69,당신과 나 사이에 없는 것,-7- 그녀의 눈물
70,너에게로 중독,제1화. 10년 사이
71,너에게로 중독,제2화. 기다리니까 남편 오잖아
72,너에게로 중독,제3화. 공백 사이의 오해
73,너에게로 중독,제4화. 치워야 할 것들
74,너에게로 중독,제5화. 배신한 너와 상처받은 나
75,너에게로 중독,제6화. 원망도 사랑하기까지
76,너에게로 중독,제7화. 비밀 많은 여자
77,너에게로 중독,제8화. 단숨에 집어삼키게
78,너에게로 중독,제9화. 넌 천국과 지옥을 오가게 해
79,너에게로 중독,제10화. 기다리던 답장
80,해시의 신루,1. 쉿!
81,해시의 신루,2. 망했다
82,해시의 신루,"3. 호환(虎患), 마마(媽媽)보다 무섭다는……"
83,해시의 신루,4. 지금 이 상황에서 웃음이 나오십니까?
84,해시의 신루,5. 대체 정체가 뭐냐?
85,해시의 신루,6. 별 보러 갑니다
86,해시의 신루,7. 왜 거짓말을 하는 건가?
87,해시의 신루,"8. 저 아이의 주인, 바로 나야"
88,해시의 신루,9. 미친개에겐 몽둥이가 약
89,해시의 신루,10. 모르셨습니까?
90,해시의 신루,11. 무슨 짓을 하려는 겁니까?
91,해시의 신루,12. 최측근과 최최측근
92,해시의 신루,13. 세자빈 한번 되어 보지 않을 테냐?
93,남자 사람 친구,01. 의식해 본 적 없던…… 입술.
94,남자 사람 친구,02. 방문이 열리는 소리.
95,남자 사람 친구,"03. 어디 한번 해보자, 누가 이기나."
96,남자 사람 친구,04. 너 도망 못 가.
97,남자 사람 친구,05. 왜 하다 말아?
98,남자 사람 친구,06. 입술과 혀로 붙들어
99,남자 사람 친구,07. 아무 짓도 안 해. 안고만 있을게.
100,남자 사람 친구,08. 넌 친구끼리 이런 짓도 하냐?
101,남자 사람 친구,09. 나 책임 안 지려고 했어?
102,남자 사람 친구,10. 사랑이 대체 뭐야?
103,남자 사람 친구,"11. 자기야, 뭐해?"
104,남자 사람 친구,12. 괜찮아. 내가 옆에 있어. 울지 마.
105,남자 사람 친구,13. 너는 지금 딱 걸렸어요.
106,남자 사람 친구,"14. 한 달, 못 기다리겠다."
107,남자 사람 친구,"15. 옵빠, 라면 먹고 갈래요?"
108,남자 사람 친구,16. 이…… 키스쟁이야!
109,남자 사람 친구,17. 난 단연코 짐승이다!
110,남자 사람 친구,18. 내 입술이 이상해.
111,남자 사람 친구,"19. 챕터 원, 표정우 유혹하기."
112,남자 사람 친구,20. 내가 너 때문에 산다.
113,남자 사람 친구,21. 이렇게 섹시한 건 반칙이지!
114,남자 사람 친구,22. 이렇게…… 키스해도 되는 거고?
115,남자 사람 친구,23. 난 니가 좋다.
116,남자 사람 친구,24. 밤의 문을 활짝 열자!
117,남자 사람 친구,25. 목덜미에 키스마크.
118,남자 사람 친구,26. 주인님과 사랑의 노예.
119,남자 사람 친구,27. 구석으로 몰아넣었다.
120,남자 사람 친구,28. 어차피 벗길 거니까.
121,남자 사람 친구,29. 야한 짓?
122,남자 사람 친구,30. 심장이 산산조각.
123,남자 사람 친구,"31. 자기야, 허니, 내 사랑, 여보."
124,남자 사람 친구,32. 나를 선물로 줄게.
125,남자 사람 친구,33. 아픔과 달콤함이 번갈아 가며.
126,남자 사람 친구,34. 진짜 확 저질러버려?
127,남자 사람 친구,"35. 열여덟, 첫 키스."
128,남자 사람 친구,36. 오늘 밤엔 내 옆에 있어.
129,남자 사람 친구,37. 침대로 가자.
130,남자 사람 친구,38. 봇물 터진 변강쇠.
131,남자 사람 친구,"39. 그걸 입고 어딜 나가게 못 보내지, 내가."
132,남자 사람 친구,40. 누님과 형님의 금단의 사랑.
133,남자 사람 친구,41. 내가 이러니 널 안 건드려?
134,남자 사람 친구,42. 넥타이로 꽁꽁.
135,남자 사람 친구,43. 하나가 되는 순간.
136,남자 사람 친구,44. 결혼해라.
137,남자 사람 친구,45. 그리고 난 평생 니 남자야.
138,남자 사람 친구,46. 이제 너 나랑 뭐할래?
139,남자 사람 친구,47. 로맨틱한 내 남자.
140,남자 사람 친구,48. 나 지금 너 무지하게 안고 싶은데.
141,남자 사람 친구,"49. 그날 밤, 언약식."
142,남자 사람 친구,50. 나는 이제 진짜 네가 아니면 안 돼.
143,남자 사람 친구,51. 이제 너는 평생 내 거예요.
144,남자 사람 친구,52. 천사 강림.
145,남자 사람 친구,53. 너는 내 여자.
146,남자 사람 친구,54. 이모와 삼촌이 되고 싶어효.
147,남자 사람 친구,55. 너를 보내고.
148,아기가 생겼어요,#1. 애 아빠는 누구야?
149,아기가 생겼어요,#2. 긴장하지 말고 힘 빼
150,아기가 생겼어요,#3. 내 아입니까?
151,아기가 생겼어요,#4. 패스트푸드 같은 사람
152,아기가 생겼어요,#5. 결혼하려고
153,미치도록 너만을,<제1화> 여기서 뭐 하는 거지?
154,미치도록 너만을,<제2화> 얼마면 되죠? 얼마면 되냐고요!
155,미치도록 너만을,<제3화> 이 손 못 놔요?
156,미치도록 너만을,<제4화> 다신 내 눈앞에 나타나지 말도록.
157,미치도록 너만을,<제5화> 당신이 왜 여기에?
158,미치도록 너만을,<제6화> 아니 잠들 곳이 따로 있지.
159,위험한 신혼부부,#1. 나는 네 남편이야
160,위험한 신혼부부,"#2. 여기서 저하고 아저씨, 둘이 산다고요?"
161,위험한 신혼부부,#3. 저 완전 멀쩡하거든요?
162,위험한 신혼부부,#4. 정윤하와 윤미사의 결혼생활에 대하여
163,위험한 신혼부부,#5. 독재자 VS 어린애
164,위험한 신혼부부,#6. 그 남자의 비밀
165,야한 남자,"제1화. 세상에서 가장 맛있는 술, 입술"
166,야한 남자,"제2화. 뭐, 뭐야. 진짜 또 왔어요?"
167,야한 남자,"제3화. 미친 소리 같겠지만, 이 방법밖에는 없어"
168,야한 남자,"제4화. 그래, 이건 응급처치야"
169,야한 남자,"제5화. 그 키스, 효과 있었어"
170,야한 남자,제6화. 어딜 도망가
171,야한 남자,"제7화. 경고해준 거, 고맙다고 말해주려 했는데"
172,야한 남자,제8화. 자연스럽게 걸어줘요
173,부장님 왜 이러세요,1. 결혼합시다
174,부장님 왜 이러세요,"2. 부장님, 결혼하세요?"
175,부장님 왜 이러세요,3. 결혼할 수 있습니다
176,부장님 왜 이러세요,4. 첫 데이트?
177,부장님 왜 이러세요,5. 합방이요?
178,부장님 왜 이러세요,6. 못된 손
179,위험한 신입사원,1. 공포의 신입사원
180,위험한 신입사원,2. 나한테 쌍욕을 한 여자는 네가 처음이야!
181,위험한 신입사원,3. 신입사원 완전개조계획
182,위험한 신입사원,4. 전세 역전!
183,위험한 신입사원,5. 커피 사 왔어요.
184,나쁜 관계,1. 거미줄을 피하는 건 나비의 본능이다.
185,나쁜 관계,2. 나비를 본 거미는 거리를 잰다.
186,나쁜 관계,3. 줄에 걸려들다.
187,나쁜 관계,4. 커피를 안 마신 이유
188,나쁜 관계,"5. 나비, 오딜이 되다."
189,나쁜 관계,6. 그 남자 떼어내기
190,나쁜 관계,7. 보통이 아니야
191,나쁜 관계,8. 0과 1의 차이
192,나쁜 관계,9. 들킬 뻔했네
193,나쁜 관계,10. 못된 사람
194,일상의 히어로,1. 당했다
195,일상의 히어로,2. 대체 저한테만 왜 그러세요?
196,일상의 히어로,3. 그 여자는 건드리지 마
197,일상의 히어로,4. 가족! 같은 본부장 새……
198,일상의 히어로,5. 혹시 저 좋아하시는 거 아니죠?
199,일상의 히어로,6. 전 느꼈다고요!
200,일상의 히어로,7. 해로운 이웃
201,일상의 히어로,8. 이 동네 이상해
202,애타는 로맨스,1. 처음부터 무릎에 앉아버리면?
203,애타는 로맨스,2. 왜 하필 저 여자의 방이야!
204,애타는 로맨스,3. 성난 들소 뒷발에 차이면?
205,애타는 로맨스,4. 우는 여자가 예뻐 보이긴 처음이야.
206,애타는 로맨스,5. 우선 옷부터 벗어요.
207,애타는 로맨스,6. 뭐 하고 있을까? 나를 기억하기나 할까?
208,애타는 로맨스,7. 원하는 걸 말해! 내가 어떻게 하면 되겠어?
209,애타는 로맨스,8. 넌 나에게 모욕감을 줬어.
210,보스의 노골적 취향,1화. 야동 좋아하세요?
211,보스의 노골적 취향,2화. 잡아와요.
212,보스의 노골적 취향,3화. 악마의 속삭임
213,보스의 노골적 취향,4화. 그럼 기간은 지금부터 한 달
214,보스의 노골적 취향,5화. 난 절대 당신한테 반하지 않아!
215,보스의 노골적 취향,6화. 나만 보여준 건 처음이야.
216,보스의 노골적 취향,7화. 가출 처녀 방랑기
217,숨결,1화. 못 견디면 죽는 거야.
218,숨결,2화. 소리 없는 아우성이 가슴을 울리다.
219,숨결,3화. 새로운 인연이 시작되다.
220,숨결,4화. 손끝이 떨릴 만큼 전율을 느끼다.
221,숨결,5화. 그의 눈빛이 싸늘하게 식다.
222,숨결,6화. 왠지 모를 낯선 기분을 느꼈다.
223,숨결,7화. 한마디만 더 내뱉으면……
224,결혼은 운명이다,제 1 장.  그 해의 마지막 파티
225,결혼은 운명이다,제 2 장. 한 해의 시작을 함께 1
226,결혼은 운명이다,제 2 장. 한 해의 시작을 함께 2
227,결혼은 운명이다,제 3 장. 감이 떨어질 때까지
228,결혼은 운명이다,제 4 장. 호두나무는 단단하고도 무르다 1
229,결혼은 운명이다,제 4 장. 호두나무는 단단하고도 무르다 2
230,헬로우 웨딩,제1화 미녀는 괴로워?!
231,헬로우 웨딩,제2화 로운의 나무늘보
232,헬로우 웨딩,제3화 멘붕의 시작
233,헬로우 웨딩,제4화 정후의 반란?!
234,헬로우 웨딩,제5화 우리가 몸으로 대화를 나누는 사이는 아니잖아요?
235,프렌시아의 꽃,1화. Start Again (1)
236,프렌시아의 꽃,2화. Start Again (2)
237,프렌시아의 꽃,3화. Start Again (3)
238,프렌시아의 꽃,4화. Start Again (4)
239,프렌시아의 꽃,5화. Start Again (5)
240,프렌시아의 꽃,6화. Witch Girl (1)
241,프렌시아의 꽃,7화. Witch Girl (2)
242,프렌시아의 꽃,8화. Witch Girl (3)
243,프렌시아의 꽃,9화. Witch Girl (4)
244,프렌시아의 꽃,10화. Witch Girl (5)
245,광해의 연인,제1화. 어느 날(1)
246,광해의 연인,제2화. 어느 날(2)
247,광해의 연인,제3화. 어느 날(3)
248,광해의 연인,제4화. 어느 날(4)
249,광해의 연인,제5화. 왜란의 한가운데에서(1)
250,광해의 연인,제6화. 왜란의 한가운데에서(2)
251,광해의 연인,제7화. 시간을 넘어서(1)
252,광해의 연인,제8화. 시간을 넘어서(2)
253,깬다깨 커플,1화. 깡패 새끼든 검사 새끼든 지금은 제가 응급실장이에요!
254,깬다깨 커플,2화. 싸. 가. 지?
255,깬다깨 커플,3화. 설마 저 사람은 아니겠지?
256,깬다깨 커플,4화. 뭐야! 그럼 제대로 한번 안아 봐
257,깬다깨 커플,5화. 유은서! 죽어도 참아!!
258,위험한 남편을 길들이는 법,#1화 이씨 집안의 사생아
259,위험한 남편을 길들이는 법,#2화 위험한 맞선남
260,위험한 남편을 길들이는 법,#3화 내가 첫눈에 반해서
261,위험한 남편을 길들이는 법,#4화 붙잡은 손이
262,위험한 남편을 길들이는 법,#5화 달라질 테니
263,위험한 남편을 길들이는 법,#6화 눈길이 가는 건
264,위험한 남편을 길들이는 법,#7화 당신에게 닿는 건
265,위험한 남편을 길들이는 법,#8화 신부 대기실에서
266,법대로 사랑하라,"1화. 너 혹시, 결혼이라도 하는 거야?"
267,법대로 사랑하라,2화. 존경하는 건물주님
268,법대로 사랑하라,3화. 갑 같은 소리 하고 있네
269,법대로 사랑하라,4화. 뒷일은 나도 모르겠다
270,법대로 사랑하라,5화. 이 구역의 미친 변호사
271,내 손에 에로스,1화. 오늘 나랑 결혼한 건 너야
272,내 손에 에로스,2화. 결혼수칙? NO! 동거수칙!
273,내 손에 에로스,3화. 교수님 or 남편
274,내 손에 에로스,4화. 속옷은 역시 검은색
275,내 손에 에로스,5화. 너는… 검은색 팬티가 취향인……?
276,내 손에 에로스,6화. 핫 블랙 vs 핫 핑크
277,내 손에 에로스,7화. 은밀한 강의실
278,폭군을 길들이는 방법,"1. 그 여자, 폭군을 만나다."
279,폭군을 길들이는 방법,"2. 헤어지지 못하는 남자, 떠나가지 못하는 여자."
280,폭군을 길들이는 방법,3. 우리 지금 만나
281,폭군을 길들이는 방법,"4. 지켜주세요. 아니, 막아주세요."
282,폭군을 길들이는 방법,5. 못 가진 게 없는 남자
283,폭군을 길들이는 방법,6. 넌 내게 모욕감을 줬어.
284,폭군을 길들이는 방법,7. 흥분하면 안겨주기로 했어
285,나를 사랑한 대륙남,제1화. 너를 요리하고 싶어
286,나를 사랑한 대륙남,제2화. 대륙의 또라이
287,나를 사랑한 대륙남,제3화. 대륙의 주방이란.
288,나를 사랑한 대륙남,제4화. 누드가 있는 밤
289,나를 사랑한 대륙남,제5화. 호색한 VS 진지남
290,후회 끝엔 너,<1화> 우리…… 그만하자.
291,후회 끝엔 너,<2화> 없어도 그만인 사람…… 아니다.
292,후회 끝엔 너,<3화> 나는 너 없이도 잘 살 거야.
293,후회 끝엔 너,<4화> 다시 너와 만나고 싶다.
294,후회 끝엔 너,<5화> 그래도 묻지 마. 기분 거지 같거든.
295,후회 끝엔 너,"<6화> 모르는 모양인데, 난 내 거 건들면 여자여도 반 죽여놔."
296,후회 끝엔 너,<7화> 어떤 놈이든 널 만지면 다 죽여버릴 거야.
297,뱀파이어의 꽃,1화. 프롤로그
298,뱀파이어의 꽃,2화. 계약의 시작 (1)
299,뱀파이어의 꽃,3화. 계약의 시작 (2)
300,뱀파이어의 꽃,4화. 뱀파이어 (1)
301,뱀파이어의 꽃,5화. 뱀파이어 (2)
302,뱀파이어의 꽃,6화. 또 다른 뱀파이어의 등장 (1)
303,뱀파이어의 꽃,7화. 또 다른 뱀파이어의 등장 (2)
304,패왕연가,"제1회 자성, 시작하다"
305,패왕연가,"제2회 자성, 발휘하다."
306,패왕연가,"제3회 자성, 정리하다."
307,패왕연가,"제4회 자성, 그녀를 만나다."
308,패왕연가,"제5회 자성, 철궤를 열다."
309,패왕연가,"제6회 자성, 베다."
310,패왕연가,"제7회 자성, 돌아오다."
311,패왕연가,"제8회 자성, 동행하기로 하다."
312,패왕연가,"제9회 설영, 그를 떠올리다."
313,패왕연가,"제10회 우빈, 과거를 떠올리다."
314,패왕연가,"제11회 자성, 따로 부르다."
315,패왕연가,"제12회 자성, 쓸어버리다."
316,패왕연가,"제13회 자성, 뜻을 밝히다."
317,패왕연가,"제14회 설영, 결심하다."
318,패왕연가,"제15회 자성, 도착하다."
319,패왕연가,"제16회 자성, 예선을 치르다."
320,패왕연가,"제17회 자성, 그녀를 다시 만나다."
321,패왕연가,"제18회 자성, 짜증을 내다."
322,패왕연가,"제19회 자성, 운명을 느끼다."
323,패왕연가,"제20회 우빈, 방법을 모색하다."
324,패왕연가,"제21회 설영, 이자성을 만나러 가다."
325,패왕연가,"제22회 자성, 기지를 발휘하다."
326,패왕연가,"제23회 자성, 추첨하다."
327,패왕연가,"제24회 자성, 일장춘몽에 들르다."
328,패왕연가,"제25회 자성, 정체를 밝혀내다."
329,"열렬하게, 단하나",#1. 오늘도 평화로운 지랄 엔터테인먼트입니다
330,"열렬하게, 단하나",#2. 내가 예쁘다고 하면 벗을래?
331,"열렬하게, 단하나",#3. 지지리 운도 없는 덕후 같으니
332,"열렬하게, 단하나",#4. 줙! 같은 소리 하고 있네
333,"열렬하게, 단하나",#5. 고인 꿈에 갇혀
334,스캔들,1. 내 남자의 여자
335,스캔들,2. 임금님 귀는 당나귀 귀
336,스캔들,3. 꿈이라면 좋겠어
337,스캔들,4. 진짜와 가짜
338,스캔들,5. 덫에 걸리다.
339,스캔들,6. 사랑하지 않으니까.
340,스캔들,7. 먼저 안겨올 때에는
341,스캔들,8. 위험한 공간
342,수라왕,서장
343,수라왕,제1화 산법의 천재
344,수라왕,제2화 내 이름은 제갈량
345,수라왕,제3화 뒤집어진 학당
346,수라왕,제4화 초류향의 재시험
347,수라왕,제5화 팽가호는 못말려~~
348,수라왕,제6화 딸이 더 무서워?!
349,수라왕,제7화 초류향의 진법 만들기
350,수라왕,제8화 송곳은 주머니가 갑갑해
351,수라왕,제9화 조기천 선생 모시기
352,파혼은 어떻게 하나요?,01. 이 여자를 위해 파혼하겠습니다!
353,파혼은 어떻게 하나요?,02. 우연과 악연의 차이
354,파혼은 어떻게 하나요?,03. 당장 날 책임져
355,파혼은 어떻게 하나요?,04. 박력 넘치는 그녀의 액세서리
356,파혼은 어떻게 하나요?,05. 내가 니 결혼 파투 낸 여자다!
357,파혼은 어떻게 하나요?,06. 낯 뜨거울 짓 안 했는데요
358,파혼은 어떻게 하나요?,07. 우리 여울이가 좋아하겠어요
359,그 모델의 사생활,1. 나는 섹시하다
360,그 모델의 사생활,2. 그 파티에 가면 안 되는 거였어
361,그 모델의 사생활,3. 지금 와서 이러면…… 조금 곤란한데?
362,그 모델의 사생활,4. 잊을 수 없었던 당신의 모습 때문에…….
363,그 모델의 사생활,5. ……믿으라며. 이대로 잘 거야?
364,그 모델의 사생활,6. 쉿. 사람들이 쳐다보잖아
365,그 모델의 사생활,7. 설마 하는 그놈이 네놈이라니
366,속도위반,1화.  이제 내 거라고.
367,속도위반,2화. 네가 처음이야.
368,속도위반,3화. 내 사정을 아는 게 이상하잖아.
369,속도위반,4화. 당신 지금 어디 있어?
370,속도위반,5화. 이게 대체 무슨 일이죠?
371,아주 은밀한 연애,01. 쫘악―. 지금 뭐 하는 겁니까?
372,아주 은밀한 연애,"02. 어떻게 납치를 해도, 의사를 납치했대?"
373,아주 은밀한 연애,03. 그가 어떻게 여기에?
374,아주 은밀한 연애,04. 굉장한 우연이군요!
375,아주 은밀한 연애,05. 지금은 말할 시기가 아니야.
376,아주 은밀한 연애,"06. 응, 좋아. 너무 좋아!"
377,터치터치 그대,"1. 너, 나랑 결혼할래?"
378,터치터치 그대,2. 계속 안겨 있으면 위험할 텐데.
379,터치터치 그대,"3. 꽉 잡아, 안 흘러내리게."
380,터치터치 그대,"4. 15센티, 키스하기 좋은 거리감"
381,터치터치 그대,"5. 이 여자와 나, 둘 중 하나를 선택하라고."
382,터치터치 그대,6. 벌써부터 나한테 집착하면 곤란한데.
383,"금혼령, 조선혼인금지령","1화. 7년째 금혼령, 조선 청춘남녀는 그 누구도 혼인할 수 없다"
384,"금혼령, 조선혼인금지령",2화. 죄인은 당장…… 입궁 준비를 하거라!
385,"금혼령, 조선혼인금지령","3화. 소녀 빙의를 하는 것은 가능할 것 같습니…… 우둑, 우두둑!"
386,"금혼령, 조선혼인금지령","4화. 하아, 내 입이 또 자동사기를 치는구나"
387,"금혼령, 조선혼인금지령",5화. 내 이제부터 색기라는 단어의 뜻을 알려 줄까 하는데
388,수상한 문과장,1화. 연애의 문제점을 찾아라
389,수상한 문과장,2화. 그 놈팡이가 너야?
390,수상한 문과장,3화. 긁지 않은 복권
391,수상한 문과장,4화. 고백에 성공한 여자
392,수상한 문과장,5화. 쓰레기 같은 것들
393,구남친이 내게 반했다,01. 내가 널 못 알아보는 줄 알았어?
394,구남친이 내게 반했다,02. 아무리 생각해도 나쁜 건 너였다
395,구남친이 내게 반했다,03. 오빠라고 불러 줘
396,구남친이 내게 반했다,"04. 나봄아, 하고 불러 버렸다"
397,구남친이 내게 반했다,05. 숨결이 닿는 거리
398,구남친이 내게 반했다,06. 친한 친구의 조언을 조심하라.
399,구남친이 내게 반했다,07. 너의 손가락 끝에
400,"나를 길들여 봐, 차비서",1화. 전설의 팬티 화보남 VS OO팬티 입은 여자.
401,"나를 길들여 봐, 차비서",2화. 그의 37번째 비서.
402,"나를 길들여 봐, 차비서",3화. 화차(火車)에 몸을 실은 눈탱이.
403,"나를 길들여 봐, 차비서",4화. 욱하는 여자.
404,"나를 길들여 봐, 차비서",5화. 욱하는 개상.
405,완벽한 쇼윈도,1. 우리 지금 만난 거 맞지
406,완벽한 쇼윈도,2. 내가 왜 여기서 나와?
407,완벽한 쇼윈도,3. 또 만날 일 있겠어?
408,완벽한 쇼윈도,4. 데이트
409,완벽한 쇼윈도,5. 할 말 없지?
410,시니컬 황후,제1화. 냉궁(冷宮)
411,시니컬 황후,제2화. 타오르기 시작하는 불꽃
412,시니컬 황후,제3화. 흩날리는 벚꽃잎
413,시니컬 황후,제4화. 어둠은 서서히 빛에 개이고
414,시니컬 황후,제5화. 쓰디 쓴 입술사이
415,시니컬 황후,제6화. 그대의 곁에 머무는 달빛처럼
416,시니컬 황후,제7화. 새로운 연꽃
417,시니컬 황후,제8화. 그대도 내 마음과 같기를
418,시니컬 황후,제9화. 연꽃향
419,시니컬 황후,"제10화. 소원해진 사랑, 그리고……."
420,"10도, 우리 연애의 온도차",1. 예쁘게 잘 컸네.
421,"10도, 우리 연애의 온도차",2. 만나야 했으나 만나지 않길 바랐던 사람
422,"10도, 우리 연애의 온도차",3. 서로 다른 의미의 재회
423,"10도, 우리 연애의 온도차","4. 시간만큼, 확실한 약"
424,"10도, 우리 연애의 온도차",5. 인생 최악의 주사
425,"10도, 우리 연애의 온도차",6. 사랑은 용기 있는 자가 쟁취하는 법
426,"10도, 우리 연애의 온도차",7. 버려진 사람에 대한 예의
427,"10도, 우리 연애의 온도차",8. 무턱대고 내뱉은 말의 무게
428,오늘부터 천생연분,#1화 : 키스한 김에 연애라니.
429,오늘부터 천생연분,#2화 : 결혼까지 생각했어.
430,오늘부터 천생연분,#3화 : 연애 산을 넘으니 결혼 산이 떡하니.
431,오늘부터 천생연분,#4화 : 혹시 속도위반이니?
432,오늘부터 천생연분,"#5화 : 서랍 속 상자, 만년필, 쪽지"
433,오늘부터 천생연분,#6화 : 옆집 반짝이
434,오늘부터 천생연분,#7화 : 이리 내.
435,오늘부터 천생연분,#8화 : 얘가 원래 이렇게 야했나.
436,신데렐라의 킬힐,1화. 여자가 필요한 남자
437,신데렐라의 킬힐,2화. 12번째 신데렐라.
438,신데렐라의 킬힐,3화. 새해 복 많이 받아요.
439,신데렐라의 킬힐,4화. 찾을 겁니다.
440,신데렐라의 킬힐,5화. 형광 분홍으로 시작되는 연애 (1)
441,신데렐라의 킬힐,6화. 형광 분홍으로 시작되는 연애 (2)
442,신데렐라의 킬힐,"7화. 플랫슈즈, 우리 편안하게 시작해요. (1)"
443,집착,1. 운명적인 첫 만남
444,집착,2. 운수 좋은 날
445,집착,3. 모든 건 계획대로
446,집착,4. 네가 지금 뭘 잘했다고!
447,집착,5. 저랑 친구 하고 싶어요?
448,집착,6. 봐요. 얼마나 사랑스러운지.
449,날 미치게 하는 그대,"1. 오빠는, 여동생에게 키스하지 않거든."
